id,createdAt,closed,dateLastActivity,idList,name,points,desc,idMembers,membersFullName,labels,due,shortUrl,url,pos,idBoard,idShort,shortLink,subscribed,badges,idLabels,stickers,descData,idAttachementCover,attachments
"5e5703d4da6ad85d1c20e7b5","Wed Feb 26 2020 18:48:36 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:05:33.099Z","Sprint 1 Done","Web Interface - Icon in top left brings you back to index page.","","After Julia enters a few mitigation into the database, she wants to return to the initial web page. To do this, she should be able to click on the top left corner, where it says 'Mitigation's Repository' in order to get her there. 
Acceptance Criteria:
-When the user wishes to return to the index page, they should be able to move their mouse to the top left corner and they should be redirected.
-The button should successfully redirect users to the index page, not any other page. ","TM","Theresa Morris","Difficulty: 1,Value: Medium","","https://trello.com/c/qjaBDefg","https://trello.com/c/qjaBDefg/83-web-interface-icon-in-top-left-brings-you-back-to-index-page","93184","5e31d8cddb572e685106c6b2","83","qjaBDefg","false","","5e31ddd72f2cc5719eda9476,5e31dd80d4da4e1ea78d8f41","","[object Object]","",""
"5e6014b20abe7713b93232ce","Wed Mar 04 2020 15:50:58 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:05:30.659Z","Sprint 1 Done","Web Interface - When result is clicked, full mitigation page loads on the right hand side of the screen","","When Mallory clicks on a mitigation from the search results listed on the left hand side of the screen, it opens up the full mitigation on the right hand side of the screen

Acceptance Criteria-
Mitigations on the left hand side of the screen darken when moused over
When mitigation result is clicked, it opens on the right side of the screen","TM, KS","Theresa Morris, stansfiek0","Value: High,Difficulty: 8","","https://trello.com/c/klMdTGO8","https://trello.com/c/klMdTGO8/86-web-interface-when-result-is-clicked-full-mitigation-page-loads-on-the-right-hand-side-of-the-screen","186368","5e31d8cddb572e685106c6b2","86","klMdTGO8","false","","5e31d8cdaf988c41f2e83b25,5e31d8cdaf988c41f2e83b20","","[object Object]","",""
"5e41c40da01b5f8fd33a254b","Mon Feb 10 2020 15:58:53 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:05:28.095Z","Sprint 1 Done","Search Bar - One multipurpose search bar in middle of web main page","","When entering the main web page, Joseph wants to search for a mitigation. He will click on the search bar and begin typing out the specific mitigation that he is looking for.  When he enters the search he will then be redirected to another page with more information.

Acceptance Criteria:
- The user should be able to successfully type into the search bar in the middle of the web main page.
- The user should be able to see the text as they are typing
- The user should be able to use all characters","KS, TM","stansfiek0, Theresa Morris","Value: High,Difficulty: 2","","https://trello.com/c/outJxJTf","https://trello.com/c/outJxJTf/20-search-bar-one-multipurpose-search-bar-in-middle-of-web-main-page","372736","5e31d8cddb572e685106c6b2","20","outJxJTf","false","","5e31d8cdaf988c41f2e83b25,5e31d8cdaf988c41f2e83b26","","[object Object]","",""
"5e41ca2e61d15d4e08940c3c","Mon Feb 10 2020 16:25:02 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:05:26.313Z","Sprint 1 Done","Web Interface - Index Page","","When Alyse first navigates to the mitigation repository, she is presented with a simple search bar.  She then enters what she is searching for into the bar and clicks to search, leading her to the results page.  As this is existance of the very page, this should exist 100% of the time.

Acceptance Criteria:
Home page exists with search bar in center
Search bar has greyed out text displaying 'search for mitigation'
Brief Descriptive text about what this database is","KS, TM","stansfiek0, Theresa Morris","Value: High,Difficulty: 1","","https://trello.com/c/N3UDYdbW","https://trello.com/c/N3UDYdbW/44-web-interface-index-page","745472","5e31d8cddb572e685106c6b2","44","N3UDYdbW","false","","5e31d8cdaf988c41f2e83b25,5e31ddd72f2cc5719eda9476","","[object Object]","",""
"5e41bf3103de0a425ea7b2e3","Mon Feb 10 2020 15:38:09 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:05:24.623Z","Sprint 1 Done","Search Bar - User Input","","Developer Sean wants to search for a mitigation, and to do this he can click on the search bar and type in his own user input. The search bar will allow Sean to type in any character on his keyboard without fail. 

Acceptance Criteria:
- The user should be able to type any character into the box with ease
- The user should be able to see what they are typing","KS","stansfiek0","Value: High,Difficulty: 1","","https://trello.com/c/ngAMTJJu","https://trello.com/c/ngAMTJJu/2-search-bar-user-input","1490944","5e31d8cddb572e685106c6b2","2","ngAMTJJu","false","","5e31d8cdaf988c41f2e83b25,5e31ddd72f2cc5719eda9476","","[object Object]","",""
"5e56a1763784346b61988032","Wed Feb 26 2020 11:48:54 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:18:50.027Z","Sprint 1 Done","ER Diagram","","As a data analyst, Dave wants to ensure that the different entities of the database are broken down to view the relationship between all of the items in the database.  This diagram will allow him to have a better understanding of how to create the database.

Acceptance criteria:
-Needs to show the relationship between two entities (one to one, one to many,  or many to many)
-Determine the different entity types","MB, G","Michael Burke, glenna29","Value: High,Difficulty: 8","","https://trello.com/c/C3q11v3S","https://trello.com/c/C3q11v3S/81-er-diagram","1606656","5e31d8cddb572e685106c6b2","81","C3q11v3S","false","","5e31d8cdaf988c41f2e83b25,5e31d8cdaf988c41f2e83b20","","[object Object]","",""
"5e41c8a476bc0e5627ebe94f","Mon Feb 10 2020 16:18:28 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:18:47.911Z","Sprint 1 Done","Database - Security Control","","As a Developer, Billy wants a way to reduce cybersecurity risks. To accomplish this, Billy first needs to use a countermeasure also called a security control consisting of one specific type and one specific category to reduce the risk to an acceptable level.

Acceptance Criteria:
-Security Control table that can be used to implement future security controls.
- Clearly defined type and category for each mitigation.
- Each security control leads to one form with x number of systems","G, MB","glenna29, Michael Burke","Value: High,Difficulty: 2","","https://trello.com/c/F9QNrpY0","https://trello.com/c/F9QNrpY0/40-database-security-control","1722368","5e31d8cddb572e685106c6b2","40","F9QNrpY0","false","","5e31d8cdaf988c41f2e83b25,5e31d8cdaf988c41f2e83b26","","[object Object]","",""
"5e41c8b3c695b1158de87d82","Mon Feb 10 2020 16:18:43 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:18:58.011Z","Sprint 1 Done","Database - Mitigation","","As a Developer, Billy wants a way to define a mitigation. There should be one general Mitigation table that defines all common mitigation attributes so that future mitigation's can be implemented from.

Acceptance Criteria:
-Mitigation table that can be used to implement new mitigation's.
- Detailed description, title that defines mitigation. Timestamp that 
  shows time created at, and if applicable a parent mitigation.","G","glenna29","Value: High,Difficulty: 2","","https://trello.com/c/9W0hbi9l","https://trello.com/c/9W0hbi9l/41-database-mitigation","1838080","5e31d8cddb572e685106c6b2","41","9W0hbi9l","false","","5e31d8cdaf988c41f2e83b25,5e31d8cdaf988c41f2e83b26","","[object Object]","",""
"5e43458f18bd5a323f208cf3","Tue Feb 11 2020 19:23:43 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:19:06.424Z","Sprint 1 Done","Database - Author","","As a Developer, Billy has already defined a general case for a mitigation and wants to document the author of a single mitigation. There  should be a table to record the author's first name and last name that wrote the mitigation, so future users have a record  of who made the database changes.


Acceptance Criteria:
-Table to record authors of specific mitigation's.
- An author must have a first and last name","G","glenna29","Value: High,Difficulty: 2","","https://trello.com/c/meMSdL54","https://trello.com/c/meMSdL54/74-database-author","1895936","5e31d8cddb572e685106c6b2","74","meMSdL54","false","","5e31d8cdaf988c41f2e83b25,5e31d8cdaf988c41f2e83b26","","[object Object]","",""
"5e41c25b061ccc6d0ce08af9","Mon Feb 10 2020 15:51:39 GMT-0500 (Eastern Standard Time)","false","2020-03-05T19:14:45.309Z","Sprint 1 Done","Framework - Identifying Administrative Category","","As a security specialist, Alfyn is eager to research and determine at least 10 different controls that deal with human security controls. Humans make mistakes in security and Alfyn would like to lower the risks and help others get a better understanding of these kinds of risks.

Acceptance Criteria:
-generate an outline for users to follow when adding new administrative controls
-provide a better understanding of administrative controls","","","Difficulty: 8,Value: High","","https://trello.com/c/zK7g0KfK","https://trello.com/c/zK7g0KfK/7-framework-identifying-administrative-category","1953792","5e31d8cddb572e685106c6b2","7","zK7g0KfK","false","","5e31d8cdaf988c41f2e83b20,5e31d8cdaf988c41f2e83b25","","[object Object]","",""
